Guide,LN_mean,Geo_mean,50_percentile,95_percentile,TTN,TTB,TTN_normalized,TTB_normalized,50_percentile_relative,95_percentile_relative,Geo_mean_relative,LN_mean_relative,TTB_relative,TTB_normalized_relative,TTN_relative,TTN_normalized_relative,Type,Bootstrap_id,95_percentile_relative_95P,95_percentile_relative_5P,95_percentile_relative_fraction_greater_than_one,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,Geo_mean_relative_95P,Geo_mean_relative_5P,Geo_mean_relative_fraction_greater_than_one,Geo_mean_relative_bootstrap_median,Geo_mean_relative_bootstrap_mean,Geo_mean_relative_97.5P,Geo_mean_relative_2.5P,TTN_normalized_relative_95P,TTN_normalized_relative_5P,TTN_normalized_relative_fraction_greater_than_one,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTB_normalized_relative_95P,TTB_normalized_relative_5P,TTB_normalized_relative_fraction_greater_than_one,TTB_normalized_relative_bootstrap_median,TTB_normalized_relative_bootstrap_mean,TTB_normalized_relative_97.5P,TTB_normalized_relative_2.5P,50_percentile_relative_95P,50_percentile_relative_5P,50_percentile_relative_fraction_greater_than_one,50_percentile_relative_bootstrap_median,50_percentile_relative_bootstrap_mean,50_percentile_relative_97.5P,50_percentile_relative_2.5P,LN_mean_relative_95P,LN_mean_relative_5P,LN_mean_relative_fraction_greater_than_one,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,95_percentile_relative_pvalue,95_percentile_relative_pvalue_FDR,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,Geo_mean_relative_pvalue,Geo_mean_relative_pvalue_FDR,Geo_mean_relative_pvalue_twoside,Geo_mean_relative_pvalue_twoside_FDR,TTN_normalized_relative_pvalue,TTN_normalized_relative_pvalue_FDR,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,TTB_normalized_relative_pvalue,TTB_normalized_relative_pvalue_FDR,TTB_normalized_relative_pvalue_twoside,TTB_normalized_relative_pvalue_twoside_FDR,50_percentile_relative_pvalue,50_percentile_relative_pvalue_FDR,50_percentile_relative_pvalue_twoside,50_percentile_relative_pvalue_twoside_FDR,LN_mean_relative_pvalue,LN_mean_relative_pvalue_FDR,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,Experiment,Mouse_genotype,Position
Pten_1,2327.9255039368463,1312.1778453651837,1108.9206505667817,9178.321678321678,138553.0,360563296.222628,21.982072029192448,68.2536843973983,0.9878501543629749,0.959287656177327,0.978286244563696,0.9642613283095772,0.9800788781453424,0.9806598042838944,1.011682840098428,0.9994642822500576,Inert,Real,0.976976167130822,0.9449737589490794,0.0,0.9598964938257384,0.9600727105673388,0.9806569014672422,0.942029689685174,0.9881471478125092,0.9708632836310428,0.0,0.978689327336441,0.9788379217466184,0.990085323498111,0.969210019867706,1.0253947032790427,0.9782419178975236,0.493,0.999715223013093,1.000537918063655,1.0299019105157596,0.9747173779962724,1.029902564725836,0.9450832247776472,0.259,0.9814008476158906,0.9836201322715248,1.0422838985431817,0.9404415009613702,1.0,0.9605698974146843,0.031,0.9812993712719652,0.9815668039144438,1.0010267909577175,0.9572432468724122,0.9797171638798992,0.9525279530414612,0.0,0.9645215135574932,0.9650183370679656,0.9825577757084814,0.9507532523366972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.493,0.493,0.986,0.986,0.259,0.3885,0.518,0.777,0.031,0.057,0.062,0.1140000000000001,0.0,0.0,0.0,0.0,OncNeg,Cas12a,Guide3
Pten_2,2496.510593488923,1368.905579841023,1136.3636363636365,9909.847700399429,157595.0,434996270.8432643,22.19960557825046,70.98448484008766,1.0122969511123618,1.0357443230654728,1.0205792633941813,1.034091776968593,1.1824017075277629,1.01989557963155,1.1507232408198431,1.0093549336948275,Inert,Real,1.0458741880469924,1.0223573393158163,1.0,1.0334563687798457,1.0335985339069218,1.048394137051484,1.0200540933071145,1.0249623975041962,1.0152398723637632,1.0,1.020600642222881,1.0204479060551364,1.0259481943705429,1.014137021707026,1.029310319671814,0.9867024429150038,0.748,1.009201855649551,1.0085017281283613,1.0335644743959749,0.9815463272021148,1.0500961308831884,0.981934774733706,0.805,1.0200368612135964,1.0182037542215718,1.0583312768706832,0.975012955951578,1.043937023557694,1.0004163607875791,0.962,1.0177330012134087,1.0209858566042096,1.0449519874517006,1.0,1.0408573970381518,1.0262498393945485,1.0,1.0340758958594276,1.033911579586447,1.0425676559177413,1.0246995496202955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252,0.378,0.504,0.756,0.1949999999999999,0.3885,0.3899999999999999,0.777,0.038,0.057,0.076,0.1140000000000001,0.0,0.0,0.0,0.0,OncNeg,Cas12a,Guide3
Pten_3,2418.1819634412204,1342.824258225648,1122.394441475147,9615.384615384615,114711.0,308116792.8561029,21.79988597491448,69.56110274013652,0.999852894524663,1.0049680207571998,1.0011344920421226,1.0016468947218298,0.8375194143268949,0.9994446160845551,0.8375939190817288,0.9911807840551156,Inert,Real,1.0185655127122557,0.9927732073137588,0.802,1.006398407637532,1.0063287555257394,1.0206944793842272,0.9898603795863308,1.0084344196482884,0.9920345714654388,0.567,1.0008712895426273,1.000714172198245,1.0101037055002582,0.990648387360476,1.0104119778067338,0.9712819916644112,0.244,0.9907412672427268,0.9909603538079834,1.0154336410437803,0.968134438347252,1.029652700457152,0.9654221027610688,0.472,0.9985541417144528,0.9981761135069036,1.0341897661449226,0.9574878141831428,1.013856122818181,0.9791014742813312,0.417,0.9990285991365474,0.9974473394813465,1.0184630499376977,0.9767441860465116,1.0116648390366507,0.988698331507687,0.58,1.00140469392886,1.0010700833455874,1.0135311753897376,0.9863537077676042,0.1979999999999999,0.1979999999999999,0.3959999999999999,0.3959999999999999,0.433,0.433,0.8660000000000001,0.8660000000000001,0.244,0.378,0.488,0.756,0.472,0.472,0.944,0.944,0.417,0.417,0.834,0.834,0.42,0.4200000000000001,0.8400000000000001,0.8400000000000002,OncNeg,Cas12a,Guide3
Rbl2_1,1555.413440741948,864.466275577327,598.8023952095808,7460.31746031746,48388.0,298994675.2268529,190.503937007874,1633.6089432320637,1.0,0.9994890503589148,0.9956477740378474,0.9932012088901162,0.882122629322818,0.7712501739407617,0.925312816720954,0.8852672863044753,Inert,Real,1.0395640625043845,0.9701509326972152,0.54,1.0017142214487016,1.003360631385927,1.0490821202564935,0.963878238628295,1.0061484184546072,0.9857015112173692,0.231,0.9949143659669264,0.9952635071780618,1.0087026230229077,0.9839748987943132,1.014931538840032,0.7631221163565861,0.074,0.8804834375628197,0.8812690723786318,1.0587397522708566,0.6741102605280177,1.0060993341286772,0.5968744614709454,0.053,0.7733054992876174,0.7859070027579825,1.056349324143325,0.5637632373509874,1.0000332225913622,0.9613428280773144,0.05,1.0,0.9928087259077336,1.012998266897747,0.9608986423844904,1.014438445991248,0.9732610670334452,0.276,0.99162710281784,0.9925540924489822,1.020695813131345,0.9686815342459236,0.4599999999999999,0.4599999999999999,0.92,0.92,0.231,0.38,0.462,0.7600000000000001,0.074,0.1725,0.148,0.345,0.053,0.159,0.106,0.318,0.05,0.15,0.1,0.3,0.276,0.4379999999999999,0.552,0.8759999999999999,SCLC,Cas12a,Guide3
Rbl2_2,1575.3870010999383,870.5737743469313,598.8023952095808,7370.517928286853,47206.0,330988114.87622344,231.40196078431373,2582.127259125913,1.0,0.9874582420897816,1.00268207685184,1.0059552225650483,0.9765127286888718,1.2190592528209143,0.9027096971589932,1.0753194347925572,Inert,Real,1.0338603307954843,0.9369506944979594,0.294,0.983620952204108,0.984446110428314,1.041215881275308,0.9306469404181854,1.012650890034577,0.99212107253168,0.638,1.0024187104987077,1.0024076416861092,1.0146229069252202,0.9904292938803408,1.2201414031679154,0.9672239201240068,0.885,1.078027007481126,1.0858240888588353,1.284782568705149,0.9462122093801836,1.4654973939164144,0.9233595998163672,0.882,1.188641395984968,1.1912607280642176,1.526040283567136,0.8711758830368459,1.0276857087151492,0.9825015783495344,0.305,1.0,1.0029217484162745,1.0349271572655958,0.9800709133145864,1.0292915758227017,0.9795816027483436,0.629,1.00604281378978,1.0051974931966678,1.0330128272702035,0.9749407828891704,0.294,0.4599999999999999,0.588,0.92,0.362,0.38,0.724,0.7600000000000001,0.1149999999999999,0.1725,0.2299999999999999,0.345,0.118,0.177,0.236,0.354,0.305,0.305,0.61,0.61,0.371,0.4379999999999999,0.742,0.8759999999999999,SCLC,Cas12a,Guide3
Rbl2_3,1567.3818403165087,869.6951730697707,598.8023952095808,7561.558377906103,61287.0,386864523.25646126,223.67518248175185,2138.6569573285124,1.0,1.0130527075513034,1.0016701491103126,1.0008435685448351,1.1413646419883103,1.009690573238324,1.171977486120053,1.0394132789029678,Inert,Real,1.0491144064761193,0.9768023150764716,0.693,1.0124811696598297,1.0121932581857591,1.0569958101748942,0.9707849632906984,1.0144990541518668,0.9897294500947288,0.62,1.0024864244452698,1.002328851135829,1.0164800135931045,0.98818804983032,1.1270934325583974,0.9238615814014348,0.722,1.0342478316603576,1.0329068387625329,1.1637303789387925,0.8965612655585197,1.258918105940365,0.8098126752450964,0.538,1.01287599339422,1.0228322691777998,1.331422038382587,0.7638060103160585,1.0299588059984086,0.9861571456424254,0.301,1.0,1.004269525675992,1.0394190871369295,0.9825364213672022,1.031085048113096,0.9731423082127084,0.562,1.002204452380099,1.00224841435435,1.0355203571695726,0.9693551830108992,0.307,0.4599999999999999,0.6140000000000001,0.92,0.38,0.38,0.76,0.7600000000000001,0.278,0.278,0.556,0.556,0.4619999999999999,0.4619999999999999,0.924,0.924,0.301,0.305,0.602,0.61,0.4379999999999999,0.4379999999999999,0.8759999999999999,0.8759999999999999,SCLC,Cas12a,Guide3
Nf1_1,789.6558246463287,663.3459208702625,549.4505494505495,2137.468566638726,6112.0,5092390.961047703,1.0,1.0,1.0,0.9818258685905252,0.985702951966538,0.9838648853875448,0.9644569296481694,1.0,0.982426060865838,1.0,Inert,Real,1.0312871724865902,0.9410318994657528,0.245,0.981529784984138,0.9832137339615388,1.0577978689053922,0.9323639776577912,1.0047923102830123,0.9727847707477272,0.116,0.9865658773483024,0.9874510579002752,1.0089784848447438,0.9708410572001516,1.05144178122162,0.9448948348325884,0.524,1.0018374763492304,1.0001005338753786,1.0594001199493994,0.9354925188230718,1.0484934941498736,0.9476287577399908,0.517,1.002024058001989,0.9996192391538444,1.0574259852144887,0.9352276875234652,1.0,0.8936080505088259,0.039,1.0,0.978622966004126,1.033049502092654,0.8725376593279258,1.0091372067290272,0.9661302644148724,0.149,0.9844280466765718,0.9859518314088987,1.0137144666556432,0.9636113340417682,0.245,0.4499999999999999,0.49,0.8999999999999999,0.116,0.21,0.232,0.42,0.476,0.498,0.952,0.996,0.483,0.5,0.966,1.0,0.039,0.1169999999999999,0.078,0.2339999999999999,0.149,0.2745000000000001,0.298,0.5490000000000002,OncNeg,KT,Guide1
Nf1_2,806.2944341025473,676.5004655076781,549.4505494505495,2195.832056389824,5847.0,4972278.856970473,1.0,1.0,1.0,1.0086345828393422,1.005250028496179,1.0045956177835005,0.9417086858471724,1.0,0.9398306900985856,1.0,Inert,Real,1.0482747448566336,0.9568378009995456,0.55,1.00477804613122,1.004875194960635,1.0580060313192603,0.9468111589386506,1.0171817978118431,0.9901916950407582,0.705,1.0045655269081646,1.0041463636939785,1.0189325322265963,0.9862749704197216,1.0384859981303416,0.959954767981123,0.498,0.9999467750030634,0.9996402248658756,1.0472539478681318,0.9538488883127738,1.0408540384303302,0.9610521275832432,0.489,0.999177481790334,0.9996951565263004,1.04787601088969,0.9541371238942664,1.0557522123893803,0.9624308406210956,0.264,1.0,1.0024843058439945,1.0700617899142917,0.9409559512652296,1.0227828479083798,0.9819139500937364,0.634,1.004175073590626,1.0033345882098403,1.0255739672143798,0.97630556150274,0.4499999999999999,0.4499999999999999,0.8999999999999999,0.8999999999999999,0.295,0.295,0.5900000000000001,0.5900000000000001,0.498,0.498,0.996,0.996,0.489,0.5,0.978,1.0,0.264,0.396,0.528,0.792,0.366,0.3659999999999999,0.732,0.7319999999999999,OncNeg,KT,Guide1
Nf1_3,811.8676328367644,679.0557165736024,549.4505494505495,2197.802197802198,6705.0,5775511.753092699,1.0,1.0,1.0,1.0095395485701328,1.009047019537283,1.0115394968289546,1.0938343845046583,1.0,1.0777432490355765,1.0,Inert,Real,1.073570375225299,0.9568324581737144,0.617,1.0092454898135834,1.0119110710778263,1.0845100913143673,0.9428712892113752,1.02032974954708,0.9950111340890836,0.86,1.0086823409143744,1.0084025784057464,1.0227624634462211,0.9929426638658714,1.0335859499192903,0.9687184042005474,0.509,1.000389765943115,1.0002592412587457,1.0425149969982497,0.9623645068174504,1.0628051110946046,0.943791191633066,0.5,0.9999236321445572,1.000685604319855,1.0737645744489337,0.9331989884599552,1.0820565162976998,1.0,0.446,1.0,1.0188927281518798,1.0906720741599072,0.9958448753462604,1.0297588527424957,0.9888499498012736,0.817,1.0113007221090338,1.0107135803812608,1.0326612001562214,0.9846042560369872,0.383,0.4499999999999999,0.766,0.8999999999999999,0.14,0.21,0.28,0.42,0.491,0.498,0.982,0.996,0.5,0.5,1.0,1.0,0.446,0.446,0.892,0.892,0.183,0.2745000000000001,0.3660000000000001,0.5490000000000002,OncNeg,KT,Guide1
Rbl2_1,655.4311544351073,550.016405634135,437.06293706293707,1843.4111759799837,254.0,183027.08029701264,1.0,1.0,1.0000000000000002,1.2068179919432596,1.043953319657935,1.0671814319358923,1.1157858798342224,1.0,1.040983606557377,1.0,Inert,Real,1.438237096331669,0.8633768139945462,0.812,1.1654414087102083,1.1488980366589416,1.511866176613466,0.7657584482691793,1.1001126453362151,0.940747682870784,0.788,1.0431340394220812,1.0342127105592755,1.1086180339712577,0.9127901914027612,1.2231860784161734,0.7983970881574415,0.511,1.0027838861461615,1.0078268259323058,1.3448714362718337,0.7257365482589703,1.3064147935087258,0.7335969473988777,0.511,1.0034024025877133,1.008290798472849,1.3706897730872896,0.6818881703197918,1.0613422985229783,0.8999999999999999,0.735,1.0000000000000002,0.9930311641883884,1.0714285714285714,0.8595594862550698,1.1593012260251478,0.9216619866962892,0.799,1.0625463982679866,1.0519212517607666,1.174606784847385,0.869127308084934,0.1879999999999999,0.281,0.3759999999999999,0.562,0.2119999999999999,0.3179999999999999,0.4239999999999999,0.6359999999999999,0.489,0.489,0.978,0.978,0.489,0.489,0.978,0.978,0.265,0.265,0.53,0.53,0.2009999999999999,0.331,0.4019999999999999,0.662,SCLC,TKO,Guide3
