gene_combination_unordered,TTN,LN_mean_relative,LN_mean_relative_bootstrap_median,LN_mean_relative_bootstrap_mean,LN_mean_relative_97.5P,LN_mean_relative_2.5P,LN_mean_relative_pvalue_twoside,LN_mean_relative_pvalue_twoside_FDR,95_percentile_relative,95_percentile_relative_bootstrap_median,95_percentile_relative_bootstrap_mean,95_percentile_relative_97.5P,95_percentile_relative_2.5P,95_percentile_relative_pvalue_twoside,95_percentile_relative_pvalue_twoside_FDR,TTN_normalized_relative,TTN_normalized_relative_bootstrap_median,TTN_normalized_relative_bootstrap_mean,TTN_normalized_relative_97.5P,TTN_normalized_relative_2.5P,TTN_normalized_relative_pvalue_twoside,TTN_normalized_relative_pvalue_twoside_FDR,Genotype
Ccnl1_Ccnl1_Ccnl2_Ccnl2,225.0,0.67111025046581,0.6583224864777362,0.6728846554583255,0.8731370885959108,0.538963728264488,0.004,0.0047619047619047,0.5980495317333627,0.5827590574537957,0.6066179452041836,1.1826097851783113,0.3242237764826231,0.108,0.12,0.3711706025364527,0.3716088181827783,0.3794131466830691,0.522326551284238,0.27174365471179,0.0,0.0,KTCas12a
Ccnl1_Ccnl1_Ccnl2_Inert,922.0,0.6450437004043207,0.646625951260742,0.6485107321305031,0.7224735132762576,0.5880578233420086,0.0,0.0,0.4511301680838202,0.4590275301259544,0.4727760348643671,0.6372215217881817,0.377887629716288,0.0,0.0,0.696704515648495,0.6944220017918818,0.6983137829310493,0.8540046381510837,0.5513700303406667,0.002,0.0043478260869565,KTCas12a
Ccnl1_Ccnl2_Ccnl2_Inert,586.0,0.5923330251985102,0.5917460791291602,0.5937208534021209,0.6652301892926283,0.5369768151228751,0.0,0.0,0.4691281750649176,0.4429714600431089,0.4481690774798561,0.6364028213166144,0.3304017060199117,0.0,0.0,0.508409023510507,0.5129698601817146,0.5195606267748348,0.6814643655370443,0.3919836047990006,0.0,0.0,KTCas12a
Ccnl1_Ccnl2_Inert_Inert,3677.0,0.659806214923121,0.6606822474099846,0.660219167073058,0.6982563956705793,0.6217265817321542,0.0,0.0,0.5652230466925707,0.5675168689256183,0.5674900068829609,0.6513217076189257,0.479806918736909,0.0,0.0,0.4650846925480397,0.4617844846961339,0.4650127454351884,0.5248727194699716,0.4194882231551757,0.0,0.0,KTCas12a
Ccnl1_Inert_Inert_Inert,3467.0,1.0145129853830377,1.0126624805653344,1.0150817268111672,1.109374025379375,0.9346711845954376,0.752,0.7673469387755102,1.0358226753143738,1.0215238891285476,1.022654470073723,1.147615976643514,0.8984875441417962,0.734,0.7489795918367348,0.9668385397731808,0.9658410929645996,0.9718716224466952,1.1341276050928,0.8420717289815565,0.65,0.8552631578947368,KTCas12a
Ccnl2_Inert_Inert_Inert,4874.0,1.0909706202995255,1.090758044272122,1.091787998003128,1.17215189343083,1.014627691457504,0.026,0.0288888888888889,1.1298078093842772,1.1339332970265614,1.1354000043879189,1.2481849263906375,1.02528415906969,0.012,0.0146341463414634,0.9945417862187348,0.9929017532522456,0.9948437063434544,1.0917735484365685,0.9039978278348296,0.884,0.9404255319148936,KTCas12a
Cpt1a_Cpt2_Inert_Inert,1116.0,1.578639095070172,1.581654350449593,1.5858541879961772,1.84465016598458,1.3649489893280249,0.0,0.0,1.935410332281828,1.9063880285527144,1.926535353685964,2.347550562612886,1.6236647997837943,0.0,0.0,0.7599502290071928,0.7634965854067781,0.767937781719646,0.9222164334445409,0.6510572658509536,0.002,0.0043478260869565,KTCas12a
Cpt2_Glut1_Inert_Inert,1719.0,1.4439582749881854,1.451002368769421,1.4550614591399464,1.6790753225558974,1.251611381391667,0.0,0.0,1.7931630820243962,1.798733575575851,1.7982668661135683,2.18477053500774,1.459088249435032,0.0,0.0,0.949706517169214,0.9539037871708496,0.9555071098774002,1.1774866283307244,0.7374710031137813,0.704,0.8949999999999999,KTCas12a
Cpt2_Gpat3_Inert_Inert,1755.0,2.302482419903272,2.3143514992118,2.3228364884384645,2.726048201723656,1.9482280944697532,0.0,0.0,3.05396504459644,3.1029543285398,3.116061847261697,3.800357861372652,2.505916921253506,0.0,0.0,1.0226581078840176,1.020292966416546,1.0302027064901138,1.240368970167611,0.8639988917484652,0.8,0.9404255319148936,KTCas12a
Cpt2_Idh3a_Inert_Inert,1822.0,1.52121424734141,1.528111841922935,1.5325376917595703,1.8217052782609469,1.2756923537495233,0.0,0.0,1.922477142554881,1.9184751298184288,1.91536884444736,2.4033647756219465,1.4332197656933336,0.0,0.0,1.0161983383136632,1.0175483746692415,1.0230223435287915,1.2187075699673475,0.862465269822153,0.8620000000000001,0.9404255319148936,KTCas12a
Cpt2_Inert_Inert_Inert,1266.0,2.148745886483053,2.155221943694028,2.1654375750052903,2.5798856650612554,1.84891695671862,0.0,0.0,2.782902719973448,2.7906025634531675,2.7921897543161998,3.371521941347641,2.2135109648800246,0.0,0.0,1.02262193960434,1.0242448571563068,1.0369468461029097,1.275416726048957,0.8571882642173193,0.8520000000000001,0.9404255319148936,KTCas12a
Cpt2_Inert_Inert_Pgk1,1163.0,1.3198540039138484,1.3247965170084195,1.3233540513846374,1.4554191536845864,1.1846195756078202,0.0,0.0,1.3688082854215535,1.3803375023918678,1.3937298617625842,1.7378511593596788,1.1249075785437916,0.002,0.0025641025641025,0.9081087455775556,0.9133005711139744,0.9209967600336292,1.16916081086075,0.7149342346644959,0.532,0.7388888888888889,KTCas12a
Cpt2_Inert_Inert_Sdha,1364.0,2.081582852685851,2.0776015366679634,2.0919580095367096,2.5105593840035403,1.7471813238511742,0.0,0.0,2.1089910641947265,2.118216628384876,2.128068343403813,2.55326459785016,1.724490452153015,0.0,0.0,0.974136743415724,0.9738468770729146,0.9819649460446472,1.21273177579771,0.7983112110719762,0.818,0.9404255319148936,KTCas12a
G3bp1_G3bp1_G3bp2_G3bp2,118.0,0.6253651232772155,0.6201294315260206,0.6301773300156703,0.7851775400336576,0.5283754215058418,0.0,0.0,0.4567692951848677,0.4517946468303422,0.4960174036010588,0.9578358929395916,0.3031455713940487,0.03,0.0357142857142857,0.3735336105766247,0.3710601131394356,0.3884845585195481,0.6608264274282354,0.2306583045100926,0.002,0.0043478260869565,KTCas12a
