Sample_ID,Mouse_Ear_Tag,Mouse_genotype,Sex,Virus_Titer,Time_After_Tumor_Initiation(wks),Total_Lung_Weight(g),Tissue
LA87_01,JH122,KTCas12a,M,500000,7,0.2855,Lung
LA87_02,JH124,KTCas12a,F,500000,7,0.2059,Lung
LA87_03,JH128,KTCas12a,F,500000,7,0.2154,Lung
LA87_04,JH154,KTCas12a,M,500000,7,0.4316,Lung
LA87_05,ES891,KTHCas12a,M,500000,7,0.2648,Lung
LA87_06,LET (ES895),KTHCas12a,M,500000,7,0.2458,Lung
LA87_07,ES882,KTHCas12a,F,500000,7,0.2325,Lung
LA87_08,ES893,KTHCas12a,M,500000,7,0.2895,Lung
LA87_09,JH314,KTCas12a,M,500000,7,0.3508,Lung
LA87_10,JH189,KTCas12a,M,500000,7,0.2548,Lung
LA87_11,JH274,KTCas12a,M,500000,7,0.4204,Lung
LA87_12,JH172,KTCas12a,F,500000,7,0.2182,Lung
LA87_13,JH222,KTCas12a,M,500000,7,0.1973,Lung
LA87_14,JH294,KTCas12a,F,500000,7,0.2197,Lung
LA87_15,SL1656,KT,M,666666,7,0.184,Lung
LA87_16,SL1658,KT,M,666666,7,0.259,Lung
LA87_17,SL1659,KT,M,666666,7,0.2134,Lung
LA87_18,SL1663,KT,M,666666,7,0.2263,Lung
LA87_19,SL1666,KT,M,666666,7,0.2,Lung
,,,,,,,
,,,,,,,
